state,year,energy_requirement
Andaman- Nicobar,2019,173.04
Andaman- Nicobar,2020,346.08
Andaman- Nicobar,2021,390.36
Andaman- Nicobar,2022,464.07
Andaman- Nicobar,2023,417.98
Andaman- Nicobar,2024,108.64
Andhra Pradesh,2019,33280.258238620605
Andhra Pradesh,2020,62079.910351435
Andhra Pradesh,2021,80940.99468796
Andhra Pradesh,2022,96920.94417733885
Andhra Pradesh,2023,93041.6224233876
Andhra Pradesh,2024,20504.16754319167
Arunachal Pradesh,2019,391.3269781765089
Arunachal Pradesh,2020,718.8040969091096
Arunachal Pradesh,2021,1028.2703626512748
Arunachal Pradesh,2022,1224.0357376482934
Arunachal Pradesh,2023,1104.5310749675
Arunachal Pradesh,2024,244.89
Assam,2019,4063.8047612862815
Assam,2020,10191.902084560372
Assam,2021,12344.507633000321
Assam,2022,15428.197148309746
Assam,2023,13140.974645391078
Assam,2024,3314.2504032
Bihar,2019,13820.647293087994
Bihar,2020,34170.578472554
Bihar,2021,41642.00770463022
Bihar,2022,54591.721913877984
Bihar,2023,47543.17395472115
Bihar,2024,12655.052636396249
Chandigarh,2019,722.3
Chandigarh,2020,1522.87
Chandigarh,2021,1810.18
Chandigarh,2022,1730.78
Chandigarh,2023,2027.868387096774
Chandigarh,2024,577.66
Chhattisgarh,2019,14074.640232182464
Chhattisgarh,2020,30471.70492879051
Chhattisgarh,2021,37837.10724464662
Chhattisgarh,2022,51603.73005579401
Chhattisgarh,2023,46905.621156349676
Chhattisgarh,2024,11222.249508300292
Dadra & Nagar Haveli and Daman & Diu,2019,4479.1600832
Dadra & Nagar Haveli and Daman & Diu,2020,7720.658736796
Dadra & Nagar Haveli and Daman & Diu,2021,11027.306593852
Dadra & Nagar Haveli and Daman & Diu,2022,13318.29205432
Dadra & Nagar Haveli and Daman & Diu,2023,11594.934215586
Dadra & Nagar Haveli and Daman & Diu,2024,2696.6209181530003
Delhi,2019,12372.77
Delhi,2020,29559.5858069
Delhi,2021,35261.175
Delhi,2022,35433.6036
Delhi,2023,40299.617885
Delhi,2024,11613.0853498
Goa,2019,2286.9969735021095
Goa,2020,4083.15135785005
Goa,2021,5198.401292290001
Goa,2022,6321.7119915402
Goa,2023,5816.8251518350935
Goa,2024,1441.0869359999992
Gujarat,2019,56366.97906753683
Gujarat,2020,111622.17660121019
Gujarat,2021,145556.2088821327
Gujarat,2022,186310.97259562727
Gujarat,2023,174411.06794341345
Gujarat,2024,41941.77694815167
Haryana,2019,21829.48
Haryana,2020,53160.518000000004
Haryana,2021,63400.216
Haryana,2022,74854.3236
Haryana,2023,72670.149606397
Haryana,2024,19331.525999999998
Himachal Pradesh,2019,5196.51
Himachal Pradesh,2020,10185.87
Himachal Pradesh,2021,14094.117
Himachal Pradesh,2022,42418.193
Himachal Pradesh,2023,14926.41
Himachal Pradesh,2024,3306.208
Jammu and Kashmir and Ladakh,2019,11140.98
Jammu and Kashmir and Ladakh,2020,19773.164898
Jammu and Kashmir and Ladakh,2021,23483.85
Jammu and Kashmir and Ladakh,2022,25839.1636
Jammu and Kashmir and Ladakh,2023,23556.076838709676
Jammu and Kashmir and Ladakh,2024,4815.250000000001
Jharkhand,2019,4492.111322285001
Jharkhand,2020,9953.335940764
Jharkhand,2021,13036.68818207959
Jharkhand,2022,17740.443760545448
Jharkhand,2023,17266.290164044505
Jharkhand,2024,4149.641371919612
Karnataka,2019,42505.39979804637
Karnataka,2020,68850.52287208759
Karnataka,2021,87535.2288343202
Karnataka,2022,99900.66388276448
Karnataka,2023,110632.13172512916
Karnataka,2024,23709.97358020294
Kerala,2019,13491.932185320005
Kerala,2020,25118.031624410385
Kerala,2021,31422.41833104009
Kerala,2022,36969.04126932714
Kerala,2023,36369.691370249086
Kerala,2024,8532.74437849133
Lakshadweep,2019,23.1
Lakshadweep,2020,55.735
Lakshadweep,2021,65.345
Lakshadweep,2022,86.438
Lakshadweep,2023,75.0145
Lakshadweep,2024,17.904049999999998
Madhya Pradesh,2019,43122.787800544
Madhya Pradesh,2020,83436.93073858142
Madhya Pradesh,2021,102916.56074547804
Madhya Pradesh,2022,122412.73636530778
Madhya Pradesh,2023,119866.64908823537
Madhya Pradesh,2024,25396.6840196788
Maharashtra,2019,79494.852645
Maharashtra,2020,150678.611472
Maharashtra,2021,204667.218124144
Maharashtra,2022,251250.8614362898
Maharashtra,2023,240519.57463940256
Maharashtra,2024,53412.85615082
Manipur,2019,530.68932626946
Manipur,2020,974.17322301104
Manipur,2021,1196.75608623394
Manipur,2022,1322.6572317601704
Manipur,2023,1125.6483326762252
Manipur,2024,264.09000000000003
Meghalaya,2019,1180.150216898519
Meghalaya,2020,2031.2775461099152
Meghalaya,2021,2657.8057373135834
Meghalaya,2022,2900.3539724787634
Meghalaya,2023,2427.163441424929
Meghalaya,2024,490.5
Mizoram,2019,356.03827002888
Mizoram,2020,727.67048955816
Mizoram,2021,767.32389306816
Mizoram,2022,861.0318992
Mizoram,2023,749.1295810572838
Mizoram,2024,165.644
Nagaland,2019,406.45596565278413
Nagaland,2020,826.4953062647778
Nagaland,2021,984.8635935322511
Nagaland,2022,1249.6497315544652
Nagaland,2023,988.5712739495266
Nagaland,2024,233.10999999999999
Odisha,2019,12511.697991728
Odisha,2020,29848.48643493775
Odisha,2021,44735.11387128855
Odisha,2022,57930.668178719425
Odisha,2023,47271.37603114136
Odisha,2024,11990.158516917734
Puducherry,2019,1287.7994165574803
Puducherry,2020,2643.808229751
Puducherry,2021,3366.206796972
Puducherry,2022,4157.436993459
Puducherry,2023,4011.971365243105
Puducherry,2024,969.5772552442659
Punjab,2019,19894.15
Punjab,2020,58444.71
Punjab,2021,70900.4
Punjab,2022,96427.39222225
Punjab,2023,78021.7192713022
Punjab,2024,20474.95519820333
Rajasthan,2019,42176.62
Rajasthan,2020,85310.688
Rajasthan,2021,105775.92
Rajasthan,2022,135472.91
Rajasthan,2023,124149.25699999998
Rajasthan,2024,28940.153299999998
Sikkim,2019,322.49952977699985
Sikkim,2020,545.9442528620001
Sikkim,2021,721.5305581771763
Sikkim,2022,774.582448831187
Sikkim,2023,597.1379151389409
Sikkim,2024,139.7635242643334
Tamil Nadu,2019,53356.20517499102
Tamil Nadu,2020,101194.000210663
Tamil Nadu,2021,129214.612460192
Tamil Nadu,2022,155788.42271374998
Tamil Nadu,2023,147026.4854902262
Tamil Nadu,2024,35675.02549899506
Telangana,2019,39360.409758001406
Telangana,2020,66998.25076736
Telangana,2021,84874.114179971
Telangana,2022,101529.246629157
Telangana,2023,98593.62981499624
Telangana,2024,19292.496494428713
Tripura,2019,618.06015385456
Tripura,2020,1484.26552716476
Tripura,2021,1798.3207833072
Tripura,2022,2086.72176805
Tripura,2023,1858.7668546735
Tripura,2024,493.76
Uttar Pradesh,2019,50092.155
Uttar Pradesh,2020,124367.382
Uttar Pradesh,2021,148962.859
Uttar Pradesh,2022,201854.054
Uttar Pradesh,2023,169759.80083329708
Uttar Pradesh,2024,48901.854443000004
Uttarakhand,2019,6782.95
Uttarakhand,2020,13826.6636
Uttarakhand,2021,18014.404
Uttarakhand,2022,21553.365999999998
Uttarakhand,2023,18119.6182
Uttarakhand,2024,4678.227999999999
West Bengal,2019,21206.505565693995
West Bengal,2020,51643.598081554
West Bengal,2021,62338.33930266048
West Bengal,2022,83117.54484301344
West Bengal,2023,77968.22517241207
West Bengal,2024,20886.189229228992
